Collective Funding,Total Support,Ticket Sales,Contributions,Conf,School
"$22,272,474","135,517,239","57,543,166","77,974,073",SEC,Texas
"$20,253,400","123,232,149","59,649,921","63,582,228",Big Ten,Ohio State
"$20,137,141","122,524,769","46,594,942","75,929,827",SEC,LSU
"$18,326,566","111,508,298","37,192,353","74,315,945",SEC,Georgia
"$17,228,714","104,828,397","50,624,287","54,204,110",SEC,Texas A&M
"$16,357,054","99,524,766","55,266,135","44,258,631",Big Ten,Michigan
"$15,995,406","97,324,316","44,211,016","53,113,300",SEC,Alabama
"$15,802,237","96,148,974","34,784,702","61,364,272",SEC,Florida
"$15,258,374","92,839,831","31,980,356","60,859,475",ACC,Clemson
"$14,817,595","90,157,905","46,977,771","43,180,134",SEC,Oklahoma
"$13,793,489","83,926,716","44,678,657","39,248,059",Big Ten,Penn State
"$13,631,160","82,939,020","21,278,997","61,660,023",Big Ten,Indiana
"$13,035,471","79,314,544","25,178,673","54,135,871",Big Ten,Michigan State
"$12,780,300","77,761,952","15,114,983","62,646,969",ACC,Virginia
"$11,602,164","70,593,563","35,110,289","35,483,274",SEC,Tennessee
"$11,588,953","70,513,179","34,140,396","36,372,783",SEC,Auburn
"$11,544,039","70,239,900","48,073,959","22,165,941",SEC,Arkansas
"$11,254,204","68,476,390","40,538,111","27,938,279",SEC,Kentucky
"$10,623,807","64,640,729","24,357,945","40,282,784",Big Ten,Oregon
"$10,034,191","61,053,203","18,773,797","42,279,406",ACC,Florida State
"$9,698,730","59,012,087","26,416,829","32,595,258",Big Ten,Iowa
"$9,554,700","58,135,731","24,301,862","33,833,869",SEC,South Carolina
"$9,443,439","57,458,760","27,045,669","30,413,091",ACC,Louisville
"$9,406,794","57,235,798","29,198,790","28,037,008",Big Ten,Washington
"$9,311,667","56,656,994","15,693,517","40,963,477",Big Ten,Illinois
"$8,982,406","54,653,602","38,117,093","16,536,509",Big Ten,Wisconsin
"$8,872,378","53,984,130","19,574,652","34,409,478",SEC,Mississippi
"$8,355,617","50,839,894","30,224,001","20,615,893",ACC,North Carolina
"$7,973,918","48,517,435","38,946,701","9,570,734",Big Ten,Nebraska
"$7,732,903","47,050,980","21,168,159","25,882,821",ACC,Virginia Tech
"$7,551,312","45,946,084","22,909,710","23,036,374",Big 12,Iowa State
"$7,427,957","45,195,526","17,933,864","27,261,662",Big 12,Kansas
"$7,252,969","44,130,809","15,286,819","28,843,990",Big 12,Utah
"$7,171,424","43,634,648","19,252,536","24,382,112",Big Ten,Minnesota
"$7,146,859","43,485,183","13,929,479","29,555,704",SEC,Missouri
"$7,121,436","43,330,498","15,221,310","28,109,188",Big 12,Kansas State
